spec_id,show,column,inverse,DDF_target_value,DDF_unit,parametertype_id,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
2272,1,0,0,,,12405,Protein,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12406,Dietary fiber,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12407,Water content,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12408,Ash,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12409,Total Fat,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12411,Energy (kcal),perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12412,Carbohydrates (Kohlenhydrate),perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12413,Glucose,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12414,Fructose,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12415,Sucrose,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12416,Galactose,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12417,Lactose,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12418,Maltose,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12419,Total Sugar (Gesamtzucker),perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12420,Sodium (Natrium),perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12421,Salt content (Salzgehalt),perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12422,Saturated fatty acids,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12423,Monounsaturated fatty acids,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12424,Polyunsaturated fatty acids,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12425,Trans fatty acids,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12426,Omega-3 fatty acids,perfect,green,!=,"""""",,,,,,
2272,1,0,0,,,12427,Omega-6 fatty acids,perfect,green,!=,"""""",,,,,,
