Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Fat, Total";5239;70,6;"g/100 g";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;Arsenic_10563;5284;<0,040;mg/kg;;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;Lead_10773;5286;<0,020;mg/kg;;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;Cadmium_10783;5288;<0,010;mg/kg;;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;Mercury_10943;5302;<0,010;mg/kg;;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Fatty acid, omega-3";5448;626;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Fatty acids, omega-6";5449;30,1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Fatty acids, omega-9";5450;82,2;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 18:2 Linoleic acid (o-6)";5473;0,4;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 18:3 alpha-linolenic acid (o-3)";5474;<1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 18:3 Linolenic acid (o-4)";5475;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 18:3 Linolenic acid (o-6)";5476;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 18:4 Stearidonic acid (o-3)";5477;0,1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 20:2 Eicosadienoic acid (o-6)";5480;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 20:3 Eicosatrienoic acid (o-6)";5481;0,1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 20:3 Eicosatrienoic acid (o-3)";5482;0,2;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 20:4 Eicosatetraenoic acid (o-3)";5483;0,6;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 20:4 Arachidonic acid (o-6)";5484;19;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 20:5 Eicosapentaenoic acid (o-3)";5485;179;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 22:2 Docosadienoic acid (o-6)";5490;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 22:4 Docosatetraenoic acid (o-6)";5491;0,3;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 22:5 Docosapentaenoic acid (o-3)";5492;2,8;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"C 22:6 Docosahexaenoic acid (o-3)";5493;394;"g/100 g fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Anisidine value";5500;2,5;;;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Number of peroxides";5501;1,5;"meq O2/kg fat";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;Enterobacteriaceae;5548;<10;"cfu/ g";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Staphylococci, coag. positive";5550;<10;"cfu/ g";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;Yeasts;5553;<10;"cfu/ g";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;Molds;5554;<10;"cfu/ g";;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Daily portion";11297;2;;;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Weight per dosage form_34954";11481;0,71;;;"not rated";;Newsletter
25-06574;N8591C;"Omega 3 softgels 120";;15.08.2025;keine;"Totox number";11677;5,5;;;"not rated";;Newsletter
